date,precipitation_sum,rain_sum,soil_moisture_0_to_7cm_mean,soil_moisture_7_to_28cm_mean,temperature_2m_max,wind_speed_10m_max,district,latitude,longitude,province,climatic_zone,rain_24h,rain_48h,rain_72h,soil_saturation_index,year,flood_risk_score,flood_category
2015-01-01,1.6,1.6,0.375,0.378,29.1,8.2,Ampara,7.2912,81.6724,Eastern,Dry,1.6,1.6,1.6,0.3762,2015,0.2,Low Risk (Normal)
2015-01-02,1.3,1.3,0.372,0.373,28.9,7.9,Ampara,7.2912,81.6724,Eastern,Dry,1.3,2.9000000000000004,2.9000000000000004,0.37239999999999995,2015,0.3,Low Risk (Normal)
2015-01-03,0.0,0.0,0.361,0.368,29.4,11.4,Ampara,7.2912,81.6724,Eastern,Dry,0.0,1.3,2.9000000000000004,0.3638,2015,0.3,Low Risk (Normal)
2015-01-04,0.2,0.2,0.349,0.36,29.1,13.9,Ampara,7.2912,81.6724,Eastern,Dry,0.2,0.2,1.5,0.35339999999999994,2015,0.1,Low Risk (Normal)
2015-01-05,3.3,3.3,0.349,0.353,27.8,16.5,Ampara,7.2912,81.6724,Eastern,Dry,3.3,3.5,3.5,0.35059999999999997,2015,0.3,Low Risk (Normal)
2015-01-06,3.2,3.2,0.368,0.355,27.5,16.5,Ampara,7.2912,81.6724,Eastern,Dry,3.2,6.5,6.7,0.3628,2015,0.7,Low Risk (Normal)
2015-01-07,0.0,0.0,0.359,0.357,27.9,17.7,Ampara,7.2912,81.6724,Eastern,Dry,0.0,3.2,6.5,0.35819999999999996,2015,0.6,Low Risk (Normal)
2015-01-08,0.0,0.0,0.341,0.35,28.1,15.8,Ampara,7.2912,81.6724,Eastern,Dry,0.0,0.0,3.2,0.3446,2015,0.3,Low Risk (Normal)
2015-01-09,0.0,0.0,0.33,0.342,28.0,15.7,Ampara,7.2912,81.6724,Eastern,Dry,0.0,0.0,0.0,0.3348,2015,0.0,Low Risk (Normal)
2015-01-10,0.0,0.0,0.32,0.335,27.3,19.9,Ampara,7.2912,81.6724,Eastern,Dry,0.0,0.0,0.0,0.326,2015,0.0,Low Risk (Normal)
2015-01-11,0.0,0.0,0.311,0.328,27.4,20.6,Ampara,7.2912,81.6724,Eastern,Dry,0.0,0.0,0.0,0.31779999999999997,2015,0.0,Low Risk (Normal)
2015-01-12,0.0,0.0,0.302,0.322,27.3,19.9,Ampara,7.2912,81.6724,Eastern,Dry,0.0,0.0,0.0,0.31,2015,0.0,Low Risk (Normal)
2015-01-13,0.0,0.0,0.293,0.316,27.8,19.1,Ampara,7.2912,81.6724,Eastern,Dry,0.0,0.0,0.0,0.3022,2015,0.0,Low Risk (Normal)
2015-01-14,0.4,0.4,0.292,0.311,27.2,15.5,Ampara,7.2912,81.6724,Eastern,Dry,0.4,0.4,0.4,0.2996,2015,0.0,Low Risk (Normal)
2015-01-15,0.8,0.8,0.296,0.308,27.5,18.7,Ampara,7.2912,81.6724,Eastern,Dry,0.8,1.2000000000000002,1.2000000000000002,0.30079999999999996,2015,0.1,Low Risk (Normal)
2015-01-16,0.6,0.6,0.296,0.305,28.0,14.3,Ampara,7.2912,81.6724,Eastern,Dry,0.6,1.4,1.8,0.2996,2015,0.2,Low Risk (Normal)
2015-01-17,1.5,1.5,0.296,0.303,27.8,16.1,Ampara,7.2912,81.6724,Eastern,Dry,1.5,2.0999999999999996,2.9,0.29879999999999995,2015,0.3,Low Risk (Normal)
2015-01-18,1.3,1.3,0.298,0.301,27.1,20.8,Ampara,7.2912,81.6724,Eastern,Dry,1.3,2.8,3.4000000000000004,0.2992,2015,0.3,Low Risk (Normal)
2015-01-19,0.2,0.2,0.297,0.3,27.9,17.4,Ampara,7.2912,81.6724,Eastern,Dry,0.2,1.4999999999999998,3.0,0.2982,2015,0.3,Low Risk (Normal)
